PROJECT_LOG_DIR,PROJECT_LOG_LOAD_TIMESTAMP,PROJECT_LOG_LOAD_COMMENT,PROJECT_LOG_PARENT_FN,PROJECT_LOG_SOURCE_COMMENT,PROJECT_LOG_FN,PROJECT_LOG_FN_MD5SUM,PROJECT_LOG_ID,PROJECT_LOG_ROBJ_NAME,PROJECT_LOG_RDATA_FN,PROJECT_LOG_RDATA_FN_MD5SUM,PROJECT_LOG_TIMESTAMP,PROJECT_LOG_COMMENT,PROJECT_LOG_WRITE_TIMESTAMP,PROJECT_LOG_WRITE_COMMENT,PROJECT_LOG_WRITE_FULL_FN,PROJECT_LOG_WRITE_FULL_FN_MD5SUM,PROJECT_LOG_GSHEET_KEY,PROJECT_LOG_GSHEET_TITLE,PROJECT_LOG_GSHEET_TAB_NAME,PROJECT_LOG_TO_DB_TIMESTAMP,PROJECT_LOG_TO_DB_COMMENT,PROJECT_LOG_TO_DB_NAME,PROJECT_LOG_TO_DB_SCHEMA,PROJECT_LOG_TO_DB_TABLE,PROJECT_LOG_FROM_DB_TIMESTAMP,PROJECT_LOG_FROM_DB_COMMENT,PROJECT_LOG_FROM_DB_NAME,PROJECT_LOG_FROM_DB_SCHEMA,PROJECT_LOG_FROM_DB_TABLE
NA,NA,NA,NA,NA,NA,NA,00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:48:27,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:48:38,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:48:46,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:48:57,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:49:55,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:50:25,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:52:13,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 19:52:55,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/Users/meerapatel/GitHub/MSK_KMI_Enterprise/msk-extract-quarry/Misc_20190819_to_20191023,2019-11-12 20:09:17,NA,NA,NA,BreastDMT_DataDictionary_2018-07-27.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
